2021-06-13 22:00:35 status unpacked gcc-9-base:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:35 install libisl22:amd64 <none> 0.22.1-1
2021-06-13 22:00:35 status half-installed libisl22:amd64 0.22.1-1
2021-06-13 22:00:35 status unpacked libisl22:amd64 0.22.1-1
2021-06-13 22:00:35 install libmpc3:amd64 <none> 1.1.0-1
2021-06-13 22:00:35 status half-installed libmpc3:amd64 1.1.0-1
2021-06-13 22:00:35 status unpacked libmpc3:amd64 1.1.0-1
2021-06-13 22:00:35 install cpp-9:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:35 status half-installed cpp-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:36 status unpacked cpp-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:36 install cpp:amd64 <none> 4:9.3.0-1ubuntu2
2021-06-13 22:00:36 status half-installed cpp:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:36 status unpacked cpp:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:36 install libcc1-0:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed libcc1-0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status unpacked libcc1-0:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 install libgomp1:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed libgomp1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status unpacked libgomp1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 install libitm1:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed libitm1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status unpacked libitm1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 install libatomic1:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status half-installed libatomic1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 status unpacked libatomic1:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:36 install libasan5:amd64 <none> 9.3.0-17ubuntu1~20.04
