batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4750534	4750534_23153_0_0.cram.crai	4750534_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4168JGgb05xP83jXBKV20	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf416QJGgbKxx324vBY1k6Y
4750555	4750555_23153_0_0.cram.crai	4750555_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ28J11Q9PxkG3k8v6G2z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ2jJ11QG4jfV3jbZZFKP
4750560	4750560_23153_0_0.cram.crai	4750560_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYbjJYVJv9ky93jF7YJ5b	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYfjJYVJkg7P43kGQXVYK
4750593	4750593_23153_0_0.cram.crai	4750593_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpqQJ5jZ1Jx4y3kq3xfyV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpqjJ5jZBPb85K6yGzXqb
4750602	4750602_23153_0_0.cram.crai	4750602_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxpQJ18Xbj06Y3jy23VQz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxpQJ18XzgyZ03jF794x7
4750630	4750630_23153_0_0.cram.crai	4750630_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8z8J5p6FPjGp3jKQy0yg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby8z8J5p65j06Y3jy23YvB
4750677	4750677_23153_0_0.cram.crai	4750677_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQX0J743kXYqQ3jxxKKy2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQX8J743j8X51FVq6QbpX
4750688	4750688_23153_0_0.cram.crai	4750688_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1V8JfPXj8X51FVq6QGPz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1VjJfPXQjz7g3jJVVK4f
4750718	4750718_23153_0_0.cram.crai	4750718_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpkjJB60bVfK43k0bBzk2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpkjJB60Yy25J9XJb5G3B
4750737	4750737_23153_0_0.cram.crai	4750737_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyq08JJjX9b4843jZpX8kB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyq0QJJjX9b4843jZpX8kQ
